MSSubClass,MSZoning,LotFrontage,LotArea,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
30,RM,60,6324,NA,4,6,1927,1950,0,TA,0,0,520,520,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,1,240,49,0,87,0,0,0,NA,NA,NA,0,5,2008,68500
70,C (all),50,8500,Pave,4,4,1920,1950,0,TA,0,0,649,649,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,1,250,0,54,172,0,0,0,NA,MnPrv,NA,0,7,2008,40000
20,RL,NA,8544,NA,5,6,1966,2006,0,TA,0,0,1228,1228,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1966,1,271,0,65,0,0,0,0,NA,MnPrv,NA,0,6,2008,149350
20,RL,85,11049,NA,8,5,2007,2007,0,Gd,0,0,1234,1234,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,2,484,0,30,0,0,0,0,NA,NA,NA,0,1,2008,179900
20,RL,70,10552,NA,5,5,1959,1959,0,TA,1018,0,380,1398,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,2,447,0,38,0,0,0,0,NA,NA,NA,0,4,2010,165500
120,RL,60,7313,NA,9,5,2005,2005,246,Ex,1153,0,408,1561,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,2,556,203,47,0,0,0,0,NA,NA,NA,0,8,2007,277500
60,RL,108,13418,NA,8,5,2004,2005,132,Gd,0,0,1117,1117,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,3,691,113,32,0,0,0,0,NA,NA,NA,0,9,2006,309000
20,RL,112,10859,NA,5,5,1994,1995,0,TA,0,0,1097,1097,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1995,2,672,392,64,0,0,0,0,NA,NA,NA,0,6,2009,145000
20,RL,74,8532,NA,5,6,1954,1990,650,TA,1213,0,84,1297,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,2,498,0,0,0,0,0,0,NA,NA,NA,0,10,2009,153000
20,RL,68,7922,NA,5,7,1953,2007,0,TA,731,0,326,1057,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,1,246,0,52,0,0,0,0,NA,NA,NA,0,1,2010,109000
90,RL,65,6040,NA,4,5,1955,1955,0,TA,0,0,0,0,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,6,2008,82000
20,RL,84,8658,NA,6,5,1965,1965,101,TA,643,0,445,1088,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965,2,440,0,138,0,0,0,0,NA,GdWo,NA,0,12,2006,160000
20,RL,115,16905,NA,5,6,1959,1959,0,TA,967,0,383,1350,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959,1,308,0,104,0,0,0,0,NA,NA,NA,0,7,2007,170000
85,RL,NA,9180,NA,5,7,1983,1983,0,TA,747,93,0,840,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,2,504,240,0,0,0,0,0,NA,MnPrv,NA,0,12,2007,144000
20,RL,NA,9200,NA,5,6,1975,1980,0,TA,280,491,167,938,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1977,1,308,145,0,0,0,0,0,NA,MnPrv,NA,0,7,2008,130250
20,RL,70,7945,NA,5,6,1959,1959,0,TA,179,506,465,1150,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1959,1,300,0,0,0,0,0,0,NA,NA,NA,0,5,2006,141000
120,RL,61,7658,NA,9,5,2005,2005,412,Ex,456,0,1296,1752,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,2,576,196,82,0,0,0,0,NA,NA,NA,0,2,2010,319900
50,RL,48,12822,NA,7,5,2003,2003,0,Gd,1351,0,83,1434,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003,2,670,168,43,0,0,198,0,NA,NA,NA,0,8,2009,239686
20,FV,84,11096,NA,8,5,2006,2006,0,Gd,24,0,1632,1656,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2006,3,826,0,146,0,0,0,0,NA,NA,NA,0,7,2007,249700
190,RM,33,4456,NA,4,5,1920,2008,0,TA,0,0,736,736,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,0,0,0,0,102,0,0,0,NA,NA,NA,0,6,2009,113000
20,RL,66,7742,NA,5,7,1966,1966,0,TA,763,0,192,955,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1966,1,386,0,0,0,0,0,0,NA,MnPrv,NA,0,1,2007,127000
60,RL,NA,13869,NA,6,6,1997,1997,0,TA,182,0,612,794,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,Attchd,1997,2,388,0,75,0,0,0,0,NA,NA,NA,0,7,2007,177000
50,RM,52,6240,NA,6,6,1934,1950,0,TA,0,0,816,816,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985,2,528,112,0,0,0,0,0,NA,MnPrv,Shed,400,9,2006,114500
90,RM,110,8472,NA,5,5,1963,1963,0,Fa,104,712,0,816,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,CarPort,1963,2,516,106,0,0,0,0,0,NA,NA,NA,0,5,2010,110000
20,RL,68,50271,NA,9,5,1981,1987,0,Gd,1810,0,32,1842,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981,3,894,857,72,0,0,0,0,NA,NA,NA,0,11,2006,385000
80,RL,60,7134,NA,5,5,1955,1955,0,TA,384,0,0,384,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,Detchd,1962,2,572,0,50,0,0,0,0,NA,MnPrv,NA,0,2,2007,130000
20,RL,100,10175,NA,6,5,1964,1964,272,TA,490,0,935,1425,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964,2,576,0,0,0,407,0,0,NA,NA,NA,0,7,2008,180500
160,FV,24,2645,Pave,8,5,1999,2000,456,Gd,649,0,321,970,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1999,2,480,115,0,0,0,0,0,NA,NA,NA,0,8,2009,172500
60,RL,89,11645,NA,7,5,2004,2004,0,Gd,0,0,860,860,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,2004,2,565,0,70,0,0,0,0,NA,NA,NA,0,8,2006,196500
60,RL,66,13682,NA,10,5,2006,2006,1031,Ex,0,0,1410,1410,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,3,641,192,0,37,0,0,0,NA,NA,NA,0,10,2006,438780
20,RL,60,7200,NA,5,7,1972,1972,0,TA,632,0,148,780,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1973,1,352,196,0,0,0,0,0,NA,MnPrv,NA,0,1,2008,124900
20,RL,63,13072,NA,6,5,2004,2004,0,TA,941,0,217,1158,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,Detchd,2006,2,576,0,50,0,0,0,0,NA,NA,NA,0,5,2006,158000
75,RM,60,7200,NA,5,7,1920,1996,0,TA,0,0,530,530,TA,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,Detchd,1935,1,288,0,0,144,0,0,0,NA,NA,NA,0,3,2007,101000
120,RL,44,6442,NA,8,5,2006,2006,178,Gd,24,0,1346,1370,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,2,484,120,49,0,0,0,0,NA,NA,NA,0,10,2007,202500
70,RM,50,10300,NA,7,6,1921,1950,0,TA,0,0,576,576,Gd,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,Detchd,1990,2,480,12,11,64,0,0,0,NA,GdPrv,NA,0,4,2010,140000
60,RL,NA,9375,NA,7,5,1997,1998,573,TA,739,0,318,1057,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,1998,2,645,576,36,0,0,0,0,NA,GdPrv,NA,0,2,2009,219500
60,RL,76,9591,NA,8,5,2004,2005,344,Gd,0,0,1143,1143,Ex,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,3,852,192,151,0,0,0,0,NA,NA,NA,0,10,2007,317000
20,RL,NA,19900,NA,7,5,1970,1989,287,TA,912,0,1035,1947,TA,Y,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,Attchd,1970,2,576,301,0,0,0,0,0,NA,NA,NA,0,7,2010,180000
20,RL,72,10665,NA,7,5,2003,2003,167,Gd,1013,0,440,1453,Ex,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2003,2,558,144,29,0,0,0,0,NA,NA,NA,0,6,2007,226000
30,RM,47,4608,NA,4,6,1945,1950,0,TA,0,0,747,747,TA,Y,SBrkr,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1945,1,220,0,0,0,0,0,0,NA,NA,NA,0,6,2010,80000
50,RL,81,15593,NA,7,4,1953,1953,0,Gd,603,0,701,1304,TA,Y,SBrkr,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1953,2,667,0,21,114,0,0,0,NA,NA,NA,0,7,2006,225000
20,RL,95,13651,NA,7,6,1973,1973,1115,TA,1880,0,343,2223,Ex,Y,SBrkr,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973,2,516,300,0,0,0,0,0,NA,NA,NA,0,2,2007,244000
20,RL,69,7599,NA,4,6,1982,2006,0,TA,565,0,280,845,TA,Y,SBrkr,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1987,2,360,0,0,0,0,0,0,NA,NA,NA,0,6,2007,129500
60,RL,74,10141,NA,7,5,1998,1998,40,TA,0,0,832,832,Gd,Y,SBrkr,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998,2,427,0,94,0,0,291,0,NA,NA,NA,0,12,2009,185000
20,RL,85,10200,NA,5,7,1954,2003,104,TA,320,362,404,1086,Gd,Y,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1989,2,490,0,0,0,0,0,0,NA,GdWo,NA,0,5,2010,144900
50,RM,60,5790,NA,3,6,1915,1950,0,Gd,0,0,840,840,Gd,N,SBrkr,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,NA,Detchd,1915,1,379,0,0,202,0,0,0,NA,NA,NA,0,5,2010,107400
180,RM,21,1596,NA,4,5,1973,1973,0,TA,462,0,0,462,TA,Y,SBrkr,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,NA,BuiltIn,1973,1,297,120,101,0,0,0,0,NA,GdWo,NA,0,11,2009,91000
20,RL,NA,8475,NA,4,7,1956,1956,0,TA,228,0,724,952,Ex,Y,FuseA,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1956,1,283,0,0,0,0,0,0,NA,NA,NA,0,4,2008,135750
50,RM,50,8635,NA,5,5,1948,2001,0,TA,336,41,295,672,TA,Y,SBrkr,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,NA,Detchd,1948,1,240,0,0,0,0,0,0,NA,MnPrv,NA,0,1,2008,127000
90,RL,72,10778,NA,4,5,1968,1968,0,TA,0,0,1768,1768,TA,N,SBrkr,1768,0,0,1768,0,0,2,0,4,2,TA,8,Typ,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,4,2010,136500
50,RM,60,10440,Grvl,5,6,1910,1981,0,TA,0,0,440,440,Gd,Y,SBrkr,682,548,0,1230,0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1966,2,440,74,0,128,0,0,0,NA,MnPrv,NA,0,5,2009,110000
60,RL,100,13000,NA,6,6,1968,1968,576,TA,448,0,448,896,TA,Y,SBrkr,1182,960,0,2142,0,0,2,1,4,1,Gd,8,Typ,1,Gd,Attchd,1968,1,509,0,72,0,0,252,0,NA,NA,NA,0,6,2009,193500
120,RM,32,4500,NA,6,5,1998,1998,443,TA,1201,0,36,1237,Ex,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,TA,5,Typ,0,NA,Attchd,1998,2,405,0,199,0,0,0,0,NA,NA,NA,0,3,2006,153500
20,RL,78,10206,NA,8,5,2007,2007,468,TA,33,0,1530,1563,Ex,Y,SBrkr,1563,0,0,1563,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2007,3,758,144,99,0,0,0,0,NA,NA,NA,0,10,2008,245000
20,RL,80,8892,NA,5,5,1960,1960,66,TA,0,0,1065,1065,Gd,Y,SBrkr,1065,0,0,1065,0,0,1,1,3,1,TA,6,Typ,0,NA,Detchd,1974,2,461,74,0,0,0,0,0,NA,NA,NA,0,7,2007,126500
80,RL,NA,8530,NA,7,5,1995,1996,22,TA,0,0,384,384,Gd,Y,SBrkr,804,670,0,1474,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995,2,400,120,72,0,0,0,0,NA,NA,Shed,700,5,2009,168500
60,RL,121,16059,NA,8,5,1991,1992,284,Gd,0,0,1288,1288,Ex,Y,SBrkr,1301,1116,0,2417,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1991,2,462,127,82,0,0,0,0,NA,NA,NA,0,4,2006,260000
60,RL,122,11911,NA,6,5,2005,2005,0,Gd,0,0,684,684,Ex,Y,SBrkr,684,876,0,1560,0,0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,2005,2,400,100,38,0,0,0,0,NA,NA,NA,0,3,2009,174000
160,FV,40,3951,Pave,6,5,2009,2009,76,Gd,0,0,612,612,Ex,Y,SBrkr,612,612,0,1224,0,0,2,1,2,1,Gd,4,Typ,0,NA,Detchd,2009,2,528,0,234,0,0,0,0,NA,NA,NA,0,6,2009,164500
50,C (all),105,8470,NA,3,2,1915,1982,0,Fa,0,0,1013,1013,TA,N,SBrkr,1013,0,513,1526,0,0,1,0,2,1,Fa,6,Typ,0,NA,NA,NA,0,0,0,0,156,0,0,0,NA,MnPrv,NA,0,10,2009,85000
20,RL,60,8070,NA,4,5,1994,1995,0,TA,588,0,402,990,Ex,Y,SBrkr,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,8,2007,123600
20,RL,60,7200,NA,4,5,1950,1950,0,TA,0,0,0,0,TA,Y,FuseA,1040,0,0,1040,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1950,2,420,0,29,0,0,0,0,NA,NA,NA,0,7,2006,109900
20,RL,85,8500,NA,5,3,1961,1961,203,TA,600,0,635,1235,TA,Y,SBrkr,1235,0,0,1235,0,0,1,0,2,1,TA,6,Typ,0,NA,Attchd,1961,2,480,0,0,0,0,0,0,NA,GdWo,NA,0,12,2006,98600
30,RL,80,13360,Grvl,5,7,1921,2006,0,TA,713,0,163,876,Ex,Y,SBrkr,964,0,0,964,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1921,2,432,0,0,44,0,0,0,NA,NA,NA,0,8,2009,163500
190,C (all),60,7200,NA,6,6,1910,1998,0,TA,1046,0,168,1214,Ex,N,SBrkr,1260,1031,0,2291,0,1,2,0,4,2,TA,9,Typ,1,Gd,Detchd,1900,2,506,0,0,0,0,99,0,NA,NA,NA,0,11,2007,133900
60,RL,69,9337,NA,6,5,1997,1997,0,TA,648,0,176,824,Ex,Y,SBrkr,905,881,0,1786,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1997,2,684,0,162,0,0,0,0,NA,NA,NA,0,5,2007,204750
60,RL,NA,9765,NA,6,8,1993,1993,68,Ex,310,0,370,680,Gd,Y,SBrkr,680,790,0,1470,0,0,2,1,3,1,TA,6,Typ,1,TA,BuiltIn,1993,2,420,232,63,0,0,0,0,NA,NA,Shed,480,4,2009,185000
20,RL,78,10264,NA,7,5,1999,1999,183,Gd,1162,0,426,1588,Ex,Y,SBrkr,1588,0,0,1588,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1999,2,472,158,29,0,0,0,0,NA,NA,NA,0,8,2006,214000
20,RL,73,10921,NA,4,5,1965,1965,48,TA,520,0,440,960,TA,Y,FuseF,960,0,0,960,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1965,1,432,120,0,0,0,0,0,NA,NA,NA,0,5,2007,94750
30,RL,85,10625,NA,5,5,1920,1950,0,TA,108,0,350,458,Fa,N,SBrkr,835,0,0,835,0,0,1,0,2,1,TA,5,Typ,0,NA,Basment,1920,1,366,0,0,77,0,0,0,NA,NA,Shed,400,5,2010,83000
20,RL,77,9320,NA,4,5,1959,1959,0,TA,569,0,381,950,Fa,Y,SBrkr,1225,0,0,1225,1,0,1,1,3,1,TA,6,Typ,0,NA,NA,NA,0,0,352,0,0,0,0,0,NA,NA,Shed,400,1,2010,128950
20,RL,NA,10603,NA,6,7,1977,2001,28,TA,1200,0,410,1610,Gd,Y,SBrkr,1610,0,0,1610,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977,2,480,168,68,0,0,0,0,NA,NA,NA,0,2,2010,205000
60,RL,77,9206,NA,6,5,1985,1985,336,Gd,0,0,741,741,TA,Y,SBrkr,977,755,0,1732,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1985,2,476,192,46,0,0,0,0,NA,NA,NA,0,6,2010,178000
